"","Plot","Quad","Q_Yellow","TAG","1stYear","Status0","X_10","Y_10","alt0","dia_x0","dia_y0","alt","dia_x","dia_y","Status","ObsNEXT","Obs0","size","size_next","repro","survival","id"
"135","2","D","A2","no tag",2023,"Jovem",7.5,3,8.9,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,135
"136","2","D","A2","no tag",2023,"Jovem",7.5,3,8.9,8,6.6,9,8,6.6,"Jovem",NA,NA,7.3,7.3,0,1,136
"137","2","D","A3","no tag",2023,"Reprodutivo",7.5,6,5,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,1,0,137
"138","2","D","A3","no tag",2023,"Jovem",5.5,2,5,5,5,6,5,5,"Jovem",NA,NA,5,5,0,1,138
"139","2","D","A3","no tag",2023,"Reprodutivo",6,2,5,5,5,12,5,5,"Jovem",NA,NA,5,5,1,1,139
"140","2","D","A3","no tag",2023,"Reprodutivo",6,1.5,5,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,1,0,140
"141","2","D","A3","no tag",2023,"Reprodutivo",5,6,5,5,5,5,5,5,"Jovem",NA,NA,5,5,1,1,141
"142","2","D","A5","no tag",2023,"Reprodutivo",1,3,18,5.5,5.5,NA,NA,NA,"Morreu",NA,NA,5.5,NA,1,0,142
"143","2","D","A5","no tag",2023,"Reprodutivo",7.5,3.5,11.8,5.4,5,NA,NA,NA,"Morreu",NA,NA,5.2,NA,1,0,143
"144","2","D","A5","no tag",2023,"Reprodutivo",1,3,8.1,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,1,0,144
"145","2","B","C2","no tag",2023,"Reprodutivo",6.5,8,26.3,11.3,11.6,NA,NA,NA,"Morreu",NA,NA,11.45,NA,1,0,145
"146","2","B","C3","no tag",2023,"Reprodutivo",7,6.5,19.6,7,8.2,NA,NA,NA,"Morreu",NA,NA,7.6,NA,1,0,146
"147","2","B","C4","no tag",2023,"Reprodutivo",8,4,6.3,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,1,0,147
"148","2","B","C4","no tag",2023,"Reprodutivo",5,5,9.4,5.5,5.5,12,5,5,"Jovem",NA,NA,5.5,5,1,1,148
