Plot;Quad;X_quad;Y_quad;Q_Yellow;X_yellow;Y_yellow;TAG ;Col_data;Status;X_10;Y_10;X_q;Y_q;X;Y;alt;dia_x;dia_y;alt24;dia_x24;dia_y24;Status24
4;C;0;50;A5;0;40;No tag;2024;new;4;3;4;43;4;93;;;;5;5;5;Jovem
4;C;0;50;A3;0;20;No tag;2024;new;3;2.5;3;22.5;3;72.5;;;;5;5;5;Jovem
4;C;0;50;A4;0;30;No tag;2024;new;3;5.5;3;35.5;3;85.5;;;;5;5;5;Jovem
4;C;0;50;B5;10;40;No tag;2024;new;3;7;13;47;13;97;;;;5;5;5;Jovem
4;C;0;50;D1;30;0;No tag;2024;new;7.5;10;37.5;10;37.5;60;;;;5;5;5;Jovem
4;C;0;50;E1;40;0;No tag;2024;new;2;3.5;42;3.5;42;53.5;;;;5;5;5;Jovem
5;A;0;0;B5;30;0;no tag;2024;new;3;7;33;7;33;7;;;;5;5;5;Jovem
5;A;0;0;C2;20;30;no tag;2024;new;5;2.5;25;32.5;25;32.5;;;;5;5;5;Jovem
5;A;0;0;D2;10;30;no tag;2024;new;6;6;16;36;16;36;;;;5;5;5;Jovem
5;A;0;0;D2;10;30;no tag;2024;new;8;8.5;18;38.5;18;38.5;;;;5;5;5;Jovem
5;A;0;0;E3;0;20;no tag;2024;new;3;9;3;29;3;29;;;;5;5;5;Jovem
5;A;0;0;E3;0;20;no tag;2024;new;6;9;6;29;6;29;;;;15;10;12;Jovem
5;A;0;0;E4;0;10;no tag;2024;new;9;1.5;9;11.5;9;11.5;;;;13;14;12;Reprodutiva
5;A;0;0;E5;0;0;no tag;2024;new;9;4.5;9;4.5;9;4.5;;;;5;5;5;Jovem
5;B;50;0;D3;20;10;no tag;2024;new;7;8.5;27;18.5;77;18.5;;;;5;5;5;Jovem
5;B;50;0;D5;40;10;no tag;2024;new;4;7;44;17;94;17;;;;5;5;5;Jovem
5;B;50;0;D5;40;10;no tag;2024;new;4;7.5;44;17.5;94;17.5;;;;5;5;5;Jovem
5;B;50;0;E1;0;0;no tag;2024;new;0;0;0;0;50;0;;;;5;5;5;Jovem
5;B;50;0;E5;40;0;no tag;2024;new;5;0.5;45;0.5;95;0.5;;;;5;5;5;Jovem
5;B;50;0;A2;0;10;no tag;2024;new;0;7;0;17;50;17;;;;5;5;5;Jovem
5;B;50;0;A4;0;30;no tag;2024;new;10;6;10;36;60;36;;;;5;5;5;Jovem
5;B;50;0;B5;40;30;no tag;2024;new;4;9;44;39;94;39;;;;5;5;5;Jovem
5;B;50;0;B4;30;30;no tag;2024;new;1.5;6;31.5;36;81.5;36;;;;5;5;5;Jovem
5;B;50;0;B4;30;30;no tag;2024;new;1.5;6;31.5;36;81.5;36;;;;5;5;5;Jovem
5;B;50;0;B4;30;30;no tag;2024;new;1.5;9;31.5;39;81.5;39;;;;5;5;5;Jovem
5;B;50;0;B3;30;20;no tag;2024;new;5;2;35;22;85;22;;;;5;5;5;Jovem
5;B;50;0;B2;20;30;no tag;2024;new;1;0;21;30;71;30;;;;5;5;5;Jovem
5;B;50;0;B2;20;30;no tag;2024;new;1;0.5;21;30.5;71;30.5;;;;5;5;5;Jovem
5;B;50;0;B2;20;30;no tag;2024;new;2;2;22;32;72;32;;;;5;5;5;Jovem
5;B;50;0;C1;0;20;no tag;2024;new;8;5;8;25;58;25;;;;5;5;5;Jovem
5;B;50;0;C2;10;20;no tag;2024;new;7;3.5;17;23.5;67;23.5;;;;5;5;5;Jovem
5;B;50;0;C2;10;20;no tag;2024;new;4;9.5;14;29.5;64;29.5;;;;5;5;5;Jovem
5;B;50;0;C2;10;20;no tag;2024;new;4;9;14;29;64;29;;;;5;5;5;Jovem
5;B;50;0;D2;10;10;no tag;2024;new;5.5;7;15.5;17;65.5;17;;;;5;5;5;Jovem
5;B;50;0;D3;20;10;no tag;2024;new;5.5;1.5;25.5;11.5;75.5;11.5;;;;5;5;5;Jovem
5;B;50;0;D3;20;10;no tag;2024;new;6.5;0.5;26.5;10.5;76.5;10.5;;;;5;5;5;Jovem
5;C;0;50;A1;0;0;no tag;2024;new;5;0;5;0;5;50;;;;5;5;5;Jovem
5;C;0;50;A1;0;0;no tag;2024;new;0;6;0;6;0;56;;;;5;5;5;Jovem
5;C;0;50;A1;0;0;no tag;2024;new;8.5;9;8.5;9;8.5;59;;;;5;5;5;Jovem
5;C;0;50;E1;40;0;no tag;2024;new;7;5.5;47;5.5;47;55.5;;;;5;5;5;Jovem
5;C;0;50;E2;40;10;no tag;2024;new;6;6.5;46;16.5;46;66.5;;;;5;5;5;Jovem
5;C;0;50;E2;40;10;no tag;2024;new;4;9;44;19;44;69;;;;5;5;5;Jovem
5;C;0;50;E3;40;20;no tag;2024;new;4;0;44;20;44;70;;;;5;5;5;Jovem
5;C;0;50;E3;40;20;no tag;2024;new;9;3;49;23;49;73;;;;5;5;5;Jovem
